Location,MinTemp,MaxTemp,Rainfall,Humidity,Pressure,Month
Shelbyville,8.8,15.7,5,92,1017.4,7
Shelbyville,12.7,15.8,0.8,75,1022.4,7
Shelbyville,6.2,15.1,0,81,1027.8,7
Shelbyville,5.3,15.9,0,71,1028.7,7
Shelbyville,7.6,11.2,16.2,83,1015.9,7
Shelbyville,5.3,13.5,17,73,1025.8,7
Shelbyville,8.4,14.3,1.8,90,1025.8,7
Shelbyville,9.5,13.1,9,54,1019.8,7
Shelbyville,10,15.4,3.8,85,1014,7
Shelbyville,11.1,14.7,4,91,1020.4,7
Shelbyville,6.3,14.1,0.2,74,1019.9,7
Shelbyville,9.8,14.7,0.2,58,1009.8,7
Shelbyville,6.5,14.2,6.8,69,1021.2,7
Shelbyville,6,13.8,0,70,1032.8,7
Shelbyville,5.4,14.2,0,49,1033.9,7
Shelbyville,2.6,14.9,0,58,1027.5,7
Shelbyville,2.8,11.8,1.6,85,1018.1,7
Shelbyville,0.7,14,0,82,1024.1,7
Shelbyville,4.9,13,0,51,1017.9,7
Shelbyville,8.5,16.1,3.4,89,1013.7,7
Shelbyville,7.6,19.3,0.8,56,1006.8,7
Shelbyville,9,13.8,8.2,92,1014.8,8
Shelbyville,6.4,15,16.2,95,1025.5,8
Shelbyville,7.4,11.9,1.2,90,1021.3,8
Shelbyville,5.9,13.2,11.2,70,1023.9,8
Shelbyville,4.4,13.8,22,87,1028.2,8
Shelbyville,6.8,14,0.8,92,1027,8
Shelbyville,5.3,13.9,2.2,97,1031.9,8
Shelbyville,5.8,12.8,0,78,1033.5,8
Shelbyville,6.7,14.1,6.2,89,1031.1,8
Shelbyville,5.5,14.9,0,85,1032.5,8
Shelbyville,5.5,15.7,0,75,1029.9,8
Shelbyville,7,17,0,52,1023.5,8
Shelbyville,8.3,13.4,1.4,64,1021.9,8
Shelbyville,3.3,12.7,2,70,1032,8
Shelbyville,3.2,14.1,0.8,82,1034.1,8
Shelbyville,2.4,15.1,0,68,1032.9,8
Shelbyville,5.4,17.4,0,44,1024.3,8
Shelbyville,3.6,17.5,0,46,1024,8
Shelbyville,5.7,15.5,0,49,1031.2,8
Shelbyville,6.5,18.7,0,53,1028.7,8
Shelbyville,9.6,15.2,8.4,75,1013.1,8
Shelbyville,6.9,17.1,0.8,76,1022.1,9
Shelbyville,9.1,16.8,1,68,1028.2,9
Shelbyville,9.5,16.8,0,52,1033.1,9
Shelbyville,7.5,17.5,0,36,1030.3,9
Shelbyville,5.4,18.8,0,60,1023.2,9
Shelbyville,8.3,18,1,58,1026.8,9
Shelbyville,5.8,19.8,0,49,1028.1,9
Shelbyville,10.6,21.9,0,34,1020,9
Shelbyville,13.9,24.9,1,39,1009.4,9
Shelbyville,10.6,21.3,0,78,1006.6,9
Shelbyville,8.3,14.7,2.8,81,1005.2,9
Shelbyville,7.7,15.3,0.4,68,1024.6,9
Shelbyville,6.4,21,0,37,1022.8,9
Shelbyville,14.9,24.8,0,21,1010.5,9
Shelbyville,10.5,22.2,0,51,1008.1,9
Shelbyville,10.7,17.3,1.6,72,1014.9,9
Shelbyville,7.4,22.5,0,55,1016.4,9
Shelbyville,13.1,15,0,67,1005.2,9
Shelbyville,9.5,16.8,6.2,57,1024.7,9
